Time(s),Type,X,Y,Z,Magnitude
0.000,GYRO,0.001,-0.059,0.003,0.059
0.001,GYRO,0.001,-0.058,0.003,0.058
0.002,GYRO,0.004,-0.056,0.000,0.057
0.004,GYRO,0.003,-0.058,0.002,0.058
0.005,GYRO,-0.007,-0.055,0.004,0.056
0.006,GYRO,-0.009,-0.060,0.002,0.060
0.007,GYRO,-0.015,-0.053,0.009,0.056
0.009,GYRO,-0.026,-0.051,0.004,0.057
0.010,GYRO,-0.031,-0.054,0.002,0.063
0.011,GYRO,-0.037,-0.052,0.005,0.064
0.012,GYRO,-0.043,-0.050,0.006,0.066
0.014,GYRO,-0.051,-0.050,0.007,0.072
0.015,GYRO,-0.064,-0.051,0.010,0.082
0.016,GYRO,-0.072,-0.050,0.013,0.089
0.017,GYRO,-0.077,-0.044,0.012,0.089
0.019,GYRO,-0.083,-0.046,0.013,0.096
0.020,GYRO,-0.091,-0.047,0.013,0.103
0.021,GYRO,-0.095,-0.046,0.015,0.106
0.022,GYRO,-0.101,-0.045,0.017,0.112
0.023,GYRO,-0.104,-0.044,0.019,0.115
0.025,GYRO,-0.111,-0.043,0.020,0.120
0.026,GYRO,-0.118,-0.040,0.014,0.126
0.027,GYRO,-0.117,-0.037,0.018,0.124
0.028,GYRO,-0.114,-0.036,0.021,0.121
0.030,GYRO,-0.115,-0.034,0.019,0.121
0.031,GYRO,-0.117,-0.035,0.018,0.124
0.032,GYRO,-0.115,-0.033,0.022,0.122
0.033,GYRO,-0.113,-0.033,0.021,0.120
0.035,GYRO,-0.118,-0.033,0.020,0.124
0.036,GYRO,-0.119,-0.035,0.017,0.126
0.037,GYRO,-0.124,-0.029,0.016,0.128
0.038,GYRO,-0.125,-0.029,0.016,0.129
0.040,GYRO,-0.127,-0.027,0.022,0.131
0.041,GYRO,-0.129,-0.024,0.021,0.133
0.042,GYRO,-0.128,-0.026,0.021,0.132
0.043,GYRO,-0.133,-0.024,0.020,0.137
0.044,GYRO,-0.132,-0.023,0.020,0.136
0.046,GYRO,-0.133,-0.021,0.020,0.136
0.047,GYRO,-0.135,-0.020,0.023,0.139
0.048,GYRO,-0.135,-0.020,0.022,0.139
0.049,GYRO,-0.135,-0.020,0.020,0.138
0.051,GYRO,-0.140,-0.021,0.018,0.142
0.052,GYRO,-0.140,-0.021,0.021,0.143
0.053,GYRO,-0.141,-0.018,0.024,0.144
0.054,GYRO,-0.137,-0.019,0.026,0.141
0.056,GYRO,-0.145,-0.018,0.024,0.148
0.057,GYRO,-0.145,-0.018,0.024,0.148
0.058,GYRO,-0.147,-0.021,0.023,0.150
0.059,GYRO,-0.151,-0.020,0.027,0.155
0.061,GYRO,-0.148,-0.021,0.024,0.152
0.062,GYRO,-0.146,-0.020,0.024,0.149
0.063,GYRO,-0.152,-0.019,0.026,0.156
0.064,GYRO,-0.153,-0.022,0.024,0.157
0.065,GYRO,-0.147,-0.019,0.028,0.151
0.067,GYRO,-0.148,-0.016,0.027,0.151
0.068,GYRO,-0.149,-0.015,0.024,0.152
0.069,GYRO,-0.152,-0.017,0.024,0.155
0.070,GYRO,-0.152,-0.016,0.031,0.156
0.072,GYRO,-0.148,-0.022,0.029,0.152
0.073,GYRO,-0.147,-0.019,0.029,0.151
0.074,GYRO,-0.145,-0.017,0.029,0.149
0.075,GYRO,-0.143,-0.019,0.030,0.147
0.077,GYRO,-0.143,-0.017,0.031,0.147
0.078,GYRO,-0.146,-0.020,0.028,0.150
0.079,GYRO,-0.141,-0.019,0.023,0.144
0.080,GYRO,-0.137,-0.019,0.026,0.141
0.082,GYRO,-0.137,-0.018,0.026,0.141
0.083,GYRO,-0.132,-0.020,0.028,0.136
0.084,GYRO,-0.129,-0.019,0.026,0.133
0.085,GYRO,-0.124,-0.020,0.026,0.128
0.086,GYRO,-0.116,-0.019,0.028,0.121
0.088,GYRO,-0.112,-0.020,0.024,0.116
0.089,GYRO,-0.105,-0.017,0.022,0.109
0.090,GYRO,-0.101,-0.021,0.021,0.106
0.091,GYRO,-0.100,-0.018,0.024,0.105
0.093,GYRO,-0.096,-0.019,0.026,0.101
0.094,GYRO,-0.092,-0.019,0.021,0.096
0.095,GYRO,-0.086,-0.018,0.020,0.090
0.096,GYRO,-0.083,-0.020,0.022,0.088
0.098,GYRO,-0.080,-0.020,0.016,0.084
0.099,GYRO,-0.075,-0.018,0.017,0.079
0.100,GYRO,-0.071,-0.020,0.014,0.075
0.101,GYRO,-0.072,-0.019,0.012,0.076
0.103,GYRO,-0.068,-0.021,0.012,0.072
0.104,GYRO,-0.065,-0.018,0.016,0.069
0.105,GYRO,-0.063,-0.016,0.010,0.066
0.106,GYRO,-0.058,-0.014,0.006,0.059
0.107,GYRO,-0.056,-0.016,0.007,0.059
0.109,GYRO,-0.058,-0.018,0.009,0.061
0.110,GYRO,-0.052,-0.014,0.005,0.054
0.111,GYRO,-0.051,-0.010,0.004,0.052
0.112,GYRO,-0.049,-0.015,0.000,0.051
0.114,GYRO,-0.047,-0.016,0.002,0.050
0.115,GYRO,-0.047,-0.012,0.003,0.048
0.116,GYRO,-0.049,-0.015,-0.002,0.051
0.117,GYRO,-0.046,-0.013,0.000,0.048
0.119,GYRO,-0.050,-0.012,-0.001,0.051
0.120,GYRO,-0.046,-0.013,0.000,0.048
0.121,GYRO,-0.049,-0.011,0.001,0.050
0.122,GYRO,-0.051,-0.010,-0.005,0.052
0.124,GYRO,-0.049,-0.013,-0.009,0.051
0.125,GYRO,-0.044,-0.014,-0.009,0.047
0.126,GYRO,-0.042,-0.010,-0.011,0.044
0.127,GYRO,-0.039,-0.006,-0.011,0.041
0.128,GYRO,-0.034,-0.014,-0.012,0.039
0.130,GYRO,-0.032,-0.011,-0.010,0.035
0.131,GYRO,-0.030,-0.012,-0.014,0.035
0.132,GYRO,-0.029,-0.014,-0.019,0.037
0.133,GYRO,-0.027,-0.010,-0.018,0.034
0.135,GYRO,-0.019,-0.011,-0.016,0.027
0.136,GYRO,-0.013,-0.014,-0.017,0.025
0.137,GYRO,-0.018,-0.012,-0.021,0.030
0.138,GYRO,-0.013,-0.010,-0.021,0.027
0.140,GYRO,-0.006,-0.012,-0.023,0.027
0.141,GYRO,-0.002,-0.013,-0.023,0.027
0.142,GYRO,0.005,-0.013,-0.022,0.026
0.143,GYRO,0.005,-0.011,-0.022,0.025
0.145,GYRO,0.013,-0.015,-0.024,0.031
0.146,GYRO,0.011,-0.020,-0.023,0.033
0.147,GYRO,0.012,-0.020,-0.019,0.030
0.148,GYRO,0.014,-0.016,-0.024,0.032
0.150,GYRO,0.015,-0.017,-0.027,0.035
0.151,GYRO,0.006,-0.016,-0.026,0.031
0.152,GYRO,0.004,-0.017,-0.029,0.034
0.153,GYRO,-0.003,-0.019,-0.028,0.034
0.154,GYRO,-0.011,-0.020,-0.032,0.039
0.156,GYRO,-0.013,-0.016,-0.027,0.034
0.157,GYRO,-0.015,-0.014,-0.019,0.028
0.158,GYRO,-0.016,-0.016,-0.029,0.037
0.159,GYRO,-0.016,-0.018,-0.031,0.039
0.161,GYRO,-0.015,-0.020,-0.024,0.035
0.162,GYRO,-0.013,-0.024,-0.023,0.036
0.163,GYRO,-0.012,-0.018,-0.027,0.034
0.164,GYRO,-0.012,-0.019,-0.024,0.033
0.166,GYRO,-0.010,-0.021,-0.026,0.035
0.167,GYRO,-0.013,-0.018,-0.032,0.039
0.168,GYRO,-0.012,-0.021,-0.030,0.038
0.169,GYRO,-0.012,-0.022,-0.028,0.037
0.171,GYRO,-0.016,-0.022,-0.029,0.040
0.172,GYRO,-0.016,-0.019,-0.027,0.036
0.173,GYRO,-0.018,-0.019,-0.029,0.039
0.174,GYRO,-0.020,-0.020,-0.027,0.039
0.175,GYRO,-0.029,-0.018,-0.026,0.043
0.177,GYRO,-0.031,-0.018,-0.029,0.046
0.178,GYRO,-0.033,-0.026,-0.029,0.051
0.179,GYRO,-0.032,-0.020,-0.028,0.047
0.180,GYRO,-0.036,-0.017,-0.030,0.050
0.182,GYRO,-0.036,-0.019,-0.029,0.050
0.183,GYRO,-0.032,-0.019,-0.029,0.047
0.184,GYRO,-0.033,-0.019,-0.028,0.047
0.185,GYRO,-0.031,-0.019,-0.027,0.045
0.187,GYRO,-0.027,-0.018,-0.024,0.040
0.188,GYRO,-0.028,-0.020,-0.028,0.044
0.189,GYRO,-0.028,-0.022,-0.031,0.047
0.190,GYRO,-0.027,-0.019,-0.029,0.044
0.192,GYRO,-0.023,-0.019,-0.024,0.039
0.193,GYRO,-0.020,-0.018,-0.028,0.039
0.194,GYRO,-0.022,-0.017,-0.030,0.041
0.195,GYRO,-0.028,-0.023,-0.032,0.048
0.196,GYRO,-0.029,-0.023,-0.029,0.047
0.198,GYRO,-0.028,-0.018,-0.029,0.044
0.199,GYRO,-0.031,-0.018,-0.030,0.047
0.200,GYRO,-0.033,-0.020,-0.030,0.049
0.201,GYRO,-0.035,-0.019,-0.031,0.051
0.203,GYRO,-0.036,-0.016,-0.033,0.052
0.204,GYRO,-0.033,-0.023,-0.034,0.053
0.205,GYRO,-0.032,-0.023,-0.029,0.049
0.206,GYRO,-0.034,-0.017,-0.031,0.049
0.208,GYRO,-0.033,-0.020,-0.036,0.053
0.209,GYRO,-0.032,-0.024,-0.036,0.054
